,,DEBATE POLÍTICO,,,IMPACTO MACROECONÔMICO,,,RETÓRICA (redução de gastos),,,RETÓRICA (investimento em saúde e educação),,,RETÓRICA (outros),,,PROCESSO LEGISLATIVO,,,DELIBERAÇÃO DO GOVERNO,,,ESTADOS & MUNICÍPIOS,,,PRINCIPAL TEMA,,,
DATA,DURAÇÃO JN,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,início,fim,duração,assunto
24-Feb-22,73'15'',,,,,,,,,,,,,,,,,,,,,,,,,1'54'',10'40'',8'46'',Ataques de Rússia à Ucrânia
25-Feb-22,56'59'',,,,,,,,,,,,,,,,,,,,,,,,,4'10'',21'12'',17'02'',Desdobramentos da Invasão de Rússia na Ucrânia
26-Feb-22,61'47'',,,,,,,,,,,,,,,,,,,,,,,,,2'28'',29'35'',27'07'',Ataques de Rússia à Ucrânia
27-Feb-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-22,52'57'',,,,,,,,,,,,,,,,,,,,,,,,,1'53'',25'03'',23'10'',Desdobramentos da Invasão de Rússia na Ucrânia
1-Mar-22,54'42'',,,,,,,,,,,,,,,,,,,,,,,,,2'11'',29'10'',26'59'',Desdobramentos da Invasão de Rússia na Ucrânia
2-Mar-22,54'40'',,,,,,,,,,,,,,,,,,,,,,,,,1'39'',21'44'',20'05'',Desdobramentos da Invasão de Rússia na Ucrânia
3-Mar-22,52'49'',,,,,,,,,,,,,,,,,,,,,,,,,1'17'',22'54'',21'37'',Desdobramentos da Invasão de Rússia na Ucrânia
4-Mar-22,53'53'',,,,,,,,,,,,,,,,,,,,,,,,,1'30'',17'37'',16'07'',Ataques de Rússia à Ucrânia
5-Mar-22,52'55'',,,,,,,,,,,,,,,,,,,,,,,,,1'46'',21'46'',20'00'',Desdobramentos da Invasão de Rússia na Ucrânia
6-Mar-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-Mar-22,54'00'',,,,,,,,,,,,,,,,,,,,,,,,,1'38'',16'34'',14'56'',Desdobramentos da Invasão de Rússia na Ucrânia
8-Mar-22,50'38'',,,,,,,,,,,,,,,,,,,,,,,,,1'22'',19'47'',18'25'',Desdobramentos da Invasão de Rússia na Ucrânia
9-Mar-22,54'31'',,,,,,,,,,,,,,,,,,,,,,,,,1'24'',15'09'',13'45'',Desdobramentos da Invasão de Rússia na Ucrânia